year	paper-Name	author
	Static Automated Program Repair for Heap Properties	Rijnard van Tonder & Claire Le Goues, Carnegie Mellon University
	Automated Localization for Unreproducible Builds	Zhilei Ren, Dalian University of Technology;He Jiang, Dalian University of Technology ;Jifeng Xuan, Wuhan University ;Zijiang Yang, Western Michigan University
	Generalized Data Structure Synthesis	Calvin Loncaric, University of Washington;Michael D. Ernst, University of Washington ;Emina Torlak, University of Washington
	Traceability in the Wild: Automatically Augmenting Incomplete Trace links	Michael Rath, Technical University Ilmenau;Jacob Rendall, University of Notre Dame ;Jin L. C. Guo, McGill University ;Jane Cleland-Huang, University of Notre Dame ;Patrick Mäder, Technical University Ilmenau
	Towards Optimal Concolic Testing	Xinyu Wang, Zhejiang University;Jun Sun, Singapore University of Technology and Design ;Zhenbang Chen, National University of Defense Technology ;Peixin Zhang, Zhejiang University ;Jingyi Wang, Singapore University of Technology and Design ;Yun Lin, National University of Singapore
2017	Clone Refactoring with Lambda Expressions	Nikolaos Tsantalis, Concordia University;Davood Mazinanian, Concordia University ;Shahriar Rostami, Concordia University
	A Grounded Theory of Agile Transitions in Practice	Rashina Hoda, University of Auckland ;James Noble Victoria, Victoria University of Wellington
	Code Defenders: Crowdsourcing Effective Tests and Subtle Mutants with a Mutation Testing Game	José Miguel Rojas, University of Sheffield;Thomas D. White, University of Sheffield ;Benjamin S. Clegg, University of Sheffield ;Gordon Fraser, University of Sheffield
	Decoding the representation of code in the brain: An fMRI study of code review and expertise	Benjamin Floyd, University of Virginia;Tyler Santander, University of Virginia ;Westley Weimer, University of Virginia
	Challenges for Static Analysis of Java Reflection - Literature Review and Empirical Study	Davy Landman, Centrum Wiskunde & Informatica;Alexander Serebrenik, Centrum Wiskunde & Informatica ;Jurgen J. Vinju, Centrum Wiskunde & Informatica
	Optimizing Test Placement for Module-Level Regression Testing	August Shi, University of Illinois at Urbana–Champaign;Suresh Thummalapenta, Microsoft ;Shuvendu K. Lahiri, Microsoft ;Nikolaj Bjorner, Microsoft ;Jacek Czerwonka, Microsoft
2016	Efficient Large-Scale Trace Checking Using MapReduce	Marcello M. Bersani, Politecnico di Milano;Domenico Bianculli, University of Luxembourg ;Carlo Ghezzi, Politecnico di Milano ;Srđan Krstić, Politecnico di Milano ;Pierluigi San Pietro, Politecnico di Milano
	Energy Profiles of Java Collections Classes	Samir Hasan, Auburn University;Zachary King, Auburn University ;Munawar Hafiz, Auburn University ;Mohammed Sayagh, Polytechnique Montréal ;Bram Adams, Polytechnique Montréal ;Abram Hindle, University of Alberta
	Feedback-Directed Instrumentation for Deployed JavaScript Applications	Magnus Madsen, University of Waterloo;Frank Tip, Samsung ;Esben Andreasen, Aarhus University ;Koushik Sen, University of California, Berkeley ;Anders Møller, Aarhus University
	From Word Embeddings to Document Similarities for Improved Information Retrieval in Software Engineering	Xin Ye, Ohio University;Hui Shen, Ohio University ;Xiao Ma, Ohio University ;Razvan Bunescu, Ohio University ;Chang Liu, Ohio University
	Guiding Dynamic Symbolic Execution toward Unverified Program Executions	Maria Christakis, ETH Zurich;Peter Müller, ETH Zurich ;Valentin Wüstholz, ETH Zurich
	On the Techniques We Create, the Tools We Build, and Their Misalignments: A Study of KLEE	Eric F. Rizzi, GrammaTech;Sebastian Elbaum, University of Nebraska–Lincoln ;Matthew B. Dwyer, University of Nebraska–Lincoln
	Termination-Checking for LLVM Peephole Optimizations	David Menendez & Santosh Nagarakatte, Rutgers University
	VDTest: An Automated Framework to Support Testing for Virtual Devices	Tingting Yu, University of Kentucky;Xiao Qu, ABB Switzerland Ltd Corporate Research ;Myra B. Cohen, University of Nebraska–Lincoln
	Work Practices and Challenges in Pull-Based Development: The Contributor's Perspective	Georgios Gousios, Radboud University Nijmegen;Margaret-Anne Storey, University of Victoria ;Alberto Bacchelli, Delft University of Technology
2015	Views on Internal and External Validity in Empirical Software Engineering	Janet Siegmund, University of Passau;Norbert Siegmund, University of Passau ;Sven Apel, University of Passau
	How Much Up-Front? A Grounded theory of Agile Architecture	Michael Waterman, Specialised Architecture Services Ltd;James Noble, Victoria University of Wellington ;George Allan, Victoria University of Wellington
	When and Why Your Code Starts to Smell Bad	Michele Tufano, College of William & Mary;Fabio Palomba, University of Salerno ;Gabriele Bavota, Free University of Bozen-Bolzano ;Rocco Oliveto, University of Molise ;Massimiliano Di Penta, University of Sannio ;Andrea De Lucia, University of Salerno ;Denys Poshyvanyk, College of William & Mary
	Alloy*: A General-Purpose Higher-Order Relational Constraint Solver	Aleksandar Milicevic, Massachusetts Institute of Technology;Joseph P. Near, Massachusetts Institute of Technology ;Eunsuk Kang, Massachusetts Institute of Technology ;Daniel Jackson, Massachusetts Institute of Technology
	Why Good Developers Write Bad Code: An Observational Case Study of the Impacts of Organizational Factors on Software Quality	Mathieu Lavallée & Pierre N. Robillard, Polytechnique Montréal
	CARAMEL: Detecting and Fixing Performance Problems That Have Non-Intrusive Fixes	Adrian Nistor, Chapman University;Po-Chun Chang, University of Wisconsin–Madison ;Cosmin Radoi, University of Illinois at Urbana–Champaign ;Shan Lu, University of Chicago
2014	A Study and Toolkit for Asynchronous Programming in C#	Semih Okur, University of Illinois at Urbana–Champaign;David L. Hartveld, Delft University of Technology ;Danny Dig, Oregon State University ;Arie van Deursen, Delft University of Technology
	Characterizing and Detecting Performance Bugs for Smartphone Applications	Yepang Liu, Hong Kong University of Science and Technology;Chang Xu, Nanjing University ;Shing-Chi Cheung, Hong Kong University of Science and Technology
	Coverage Is Not Strongly Correlated with Test Suite Effectiveness	Laura Inozemtseva & Reid Holmes, University of Waterloo
	Cowboys, Ankle Sprains, and Keepers of Quality: How Is Video Game Development Different from Software Development?	Emerson Murphy-Hill, North Carolina State University;Thomas Zimmermann, Microsoft ;Nachiappan Nagappan, Microsoft
	Enhancing Symbolic Execution with Veritesting	Thanassis Avgerinos, Carnegie Mellon University;Alexandre Rebert, Carnegie Mellon University ;Sang Kil Cha, Carnegie Mellon University ;David Brumley, Carnegie Mellon University
	Improving Automated Source Code Summarization via an Eye-Tracking Study of Programmers	Paige Rodeghero, University of Notre Dame;Collin McMillan, University of Notre Dame ;Paul W. McBurney, University of Notre Dame ;Nigel Bosch, University of Notre Dame ;Sidney D'Mello, University of Notre Dame
	Trading Robustness for Maintainability: An Empirical Study of Evolving C# Programs	Nélio Cacho, Universidade Federal do Rio Grande do Norte;Thiago César, Universidade Federal do Rio Grande do Norte ;Thomas Filipe, Universidade Federal do Rio Grande do Norte ;Eliezio Soares, Universidade Federal do Rio Grande do Norte ;Arthur Cassio, Universidade Federal do Rio Grande do Norte ;Rafael Souza, Universidade Federal do Rio Grande do Norte ;Israel Garcia, Universidade Federal do Rio Grande do Norte ;Eiji Adachi Barbosa, Pontifical Catholic University of Rio de Janeiro ;Alessandro Garcia, Pontifical Catholic University of Rio de Janeiro
	Understanding JavaScript Event-Based Interactions	Saba Alimadadi, University of British Columbia;Sheldon Sequeira, University of British Columbia ;Ali Mesbah, University of British Columbia ;Karthik Pattabiraman, University of British Columbia
	Unit Test Virtualization with VMVM	Jonathan Bell & Gail Kaiser, Columbia University
2013	Data Clone Detection and Visualization in Spreadsheets	Felienne Hermans, Delft University of Technology;Ben Sedee, Delft University of Technology ;Martin Pinzger, Delft University of Technology ;Arie van Deursen, Delft University of Technology
	Interaction-Based Test-Suite Minimization	Dale Blue, IBM;Itai Segall, IBM ;Rachel Tzoref-Brill, IBM ;Aviad Zlotnick, IBM
	Assisting Developers of Big Data Analytics Applications When Deploying on Hadoop Clouds	Weiyi Shang, Queen's University;Zhen Ming Jiang, Queen's University ;Hadi Hemmati, Queen's University ;Bram Adams, Polytechnique Montréal ;Ahmed E. Hassan, Queen's University ;Patrick Martin, Queen's University
	UML in Practice	Marian Petre, The Open University
	Dual Ecological Measures of Focus in Software Development	Daryl Posnett, University of California, Davis;Raissa D'Souza, University of California, Davis ;Premkumar Devanbu, University of California, Davis ;Vladimir Filkov, University of California, Davis
	Automatic patch generation learned from human-written patches	Dongsun Kim, Hong Kong University of Science and Technology;Jaechang Nam, Hong Kong University of Science and Technology ;Jaewoo Song, Hong Kong University of Science and Technology ;Sunghun Kim, Hong Kong University of Science and Technology
2012	Amplifying Tests to Validate Exception Handling Code	Pingyu Zhang & Sebastian Elbaum, University of Nebraska–Lincoln
	A Tactic-Centric Approach for Automating Traceability of Quality Concerns	Mehdi Mirakhorli, DePaul University;Yonghee Shin, DePaul University ;Jane Cleland-Huang, DePaul University ;Murat Cinar, DePaul University
	Using Dynamic Analysis to Discover Polynomial and Array Invariants	ThanhVu Nguyen, University of New Mexico;Deepak Kapur, University of New Mexico ;Westley Weimer, University of New Mexico ;Stephanie Forrest, University of New Mexico
	Automated Detection of Client-State Manipulation Vulnerabilities	Anders Møller & Mathias Schwarz, Aarhus University
	Understanding Integer Overflow in C/C++	Will Dietz, University of Illinois at Urbana–Champaign;Peng Li, University of Utah ;John Regehr, University of Utah ;Vikram Adve, University of Illinois at Urbana–Champaign
	How Do Professional Developers Comprehend Software?	Tobias Roehm, Technical University of Munich;Rebecca Tiarks, University of Bremen ;Rainer Koschke, University of Bremen ;Walid Maalej, Technical University of Munich
	Partial Models: Towards Modeling and Reasoning with Uncertainty	Michalis Famelis, University of Toronto;Rick Salay, University of Toronto ;Marsha Chechik, University of Toronto
2011	Run-Time Efficient Probabilistic Model Checking	Antonio Filieri, Politecnico di Milano;Carlo Ghezzi, Politecnico di Milano ;Giordano Tamburrelli, Politecnico di Milano
	Verifying Multi-threaded Software using SMT-based Context-Bounded Model Checking	Lucas Cordeiro & Bernd Fischer, University of Southampton
	Programs, tests, and oracles: the foundations of testing revisited	Matt Staats, University of Minnesota;Michael W. Whalen, University of Minnesota ;Mats P.E. Heimdahl, University of Minnesota
	On-demand Feature Recommendations Derived from Mining Public Product Descriptions	Horatiu Dumitru, DePaul University;Marek Gibiec, DePaul University ;Negar Hariri, DePaul University ;Jane Cleland-Huang, DePaul University ;Bamshad Mobasher, DePaul University ;Carlos Castro-Herrera, DePaul University ;Mehdi Mirakhorli, DePaul University
	Configuring Global Software Teams: A Multi-Company Analysis of Project Productivity, Quality, and Profits	Narayan Ramasubbu, Singapore Management University;Marcelo Cataldo, Carnegie Mellon University ;Rajesh Krishna Balan, Singapore Management University ;James D. Herbsleb, Carnegie Mellon University
2010	Collaborative Reliability Prediction of Service-Oriented Systems	Zibin Zheng & Michael R. Lyu, The Chinese University of Hong Kong
	A Degree-of-Knowledge Model to Capture Source Code Familiarity	Thomas Fritz, University of British Columbia;Jingwen Ou, University of British Columbia ;Gail C. Murphy, University of British Columbia ;Emerson Murphy-Hill, University of British Columbia
	A Machine Learning Approach for Tracing Regulatory Codes to Product Specific Requirements	Jane Cleland-Huang, DePaul University;Adam Czauderna, DePaul University ;John Emenecker, DePaul University ;Marek Gibiec, DePaul University
	A Cut-off Approach for Bounded Verification of Parameterized Systems	Qiusong Yang & Mingshu Li, Chinese Academy of Sciences
	Test Generation through Programming in UDITA	Milos Gligoric, University of Illinois at Urbana–Champaign;Tihomir Gvero, École Polytechnique Fédérale de Lausanne ;Vilas Jagannath, University of Illinois at Urbana–Champaign ;Sarfraz Khurshid, University of Texas at Austin ;Viktor Kuncak, École Polytechnique Fédérale de Lausanne ;Darko Marinov, University of Illinois at Urbana–Champaign
2009	Effective Static Deadlock Detection	Mayur Naik, Intel;Chang-Seo Park, University of California, Berkeley ;Koushik Sen, University of California, Berkeley ;David Gay, Intel
	Does Distributed Development Affect Software Quality? An Empirical Case Study of Windows Vista	Christian Bird, University of California, Davis;Nachiappan Nagappan, Microsoft ;Premkumar Devanbu, University of California, Davis ;Harald Gall, University of Zurich ;Brendan Murphy, Microsoft
	How We Refactor, and How We Know It	Emerson Murphy-Hill, Portland State University;Chris Parnin, Georgia Institute of Technology ;Andrew P. Black, Portland State University
	Automatically finding patches using genetic programming	Westley Weimer, University of Virginia;ThanhVu Nguyen, University of New Mexico ;Claire Le Goues, University of Virginia ;Stephanie Forrest, University of New Mexico
	Invariant-Based Automatic Testing of AJAX User Interfaces	Ali Mesbah & Arie van Deursen, Delft University of Technology
2008	Recommending adaptive changes for framework evolution	Barthélémy Dagenais & Martin P. Robillard, McGill University
	Precise memory leak detection for java software using container profiling	Guoqing Xu & Atanas Rountev, Ohio State University
	Debugging Reinvented: Asking and Answering Why and Why Not Questions about Program Behavior	Andrew J. Ko & Brad A. Myers, Carnegie Mellon University
	The Effect of Program and Model Structure on MC/DC Test Adequacy Coverage	Ajitha Rajan, University of Minnesota;Michael W. Whalen, Rockwell Collins ;Mats P.E. Heimdahl, University of Minnesota
	Predicting Accurate and Actionable Static Analysis Warnings: An Experimental Approach	Joseph Ruthruff, University of Nebraska–Lincoln;John Penix, Google ;J. David Morgenthaler, Google ;Sebastian Elbaum, University of Nebraska–Lincoln ;Gregg Rothermel, University of Nebraska–Lincoln
2007	Tracking Code Clones in Evolving Software	Ekwa Duala-Ekoko & Martin P. Robillard, McGill University
	Predicting Faults from Cached History	Sunghun Kim, Massachusetts Institute of Technology;Thomas Zimmermann, Saarland University ;E. James Whitehead Jr., University of California, Santa Cruz ;Andreas Zeller, Saarland University
	Matching and Merging of Statecharts Specifications	Shiva Nejati, University of Toronto;Mehrdad Sabetzadeh, University of Toronto ;Marsha Chechik, University of Toronto ;Steve Easterbrook, University of Toronto ;Pamela Zave, AT&T Laboratories
	Refactoring for Parameterizing Java Classes	Adam Kiezun, Massachusetts Institute of Technology;Michael D. Ernst, Massachusetts Institute of Technology ;Frank Tip, IBM ;Robert M. Fuhrer, IBM
2006	Model-Based Development of Dynamically Adaptive Software	Ji Zhang & Betty H.C. Cheng, Michigan State University
	Who Should Fix This Bug?	John Anvik, University of British Columbia;Lyndon Hiew, University of British Columbia ;Gail C. Murphy, University of British Columbia
2005	Data Structure Repair Using Goal-Directed Reasoning	Brian Demsky & Martin Rinard, Massachusetts Institute of Technology
	Using Structural Context to Recommend Source Code Examples	Reid Holmes & Gail Murphy, University of British Columbia
	Is Mutation an Appropriate Tool for Testing Experiments?	James Andrews, University of Western Ontario;Lionel Briand, Carleton University ;Yvan Labiche, Carleton University
	Eliciting Design Requirements for Maintenance-Oriented IDEs: A Detailed Study of Corrective and Perfective Maintenance Tasks	Andrew Ko, Carnegie Mellon University;Htet Htet Aung, Carnegie Mellon University ;Brad Myers, Carnegie Mellon University
2004	SNIAFL: Towards a Static Non-Interactive Approach to Feature Location	Wei Zhao, Peking University;Lu Zhang, Peking University ;Yin Liu, Peking University ;Jiasu Sun, Peking University ;Fuqing Yang, Peking University
	An Empirical Study of Software Reuse vs. Defect-Density and Stability	Parastoo Mohagheghi, Ericsson;Reidar Conradi, Norwegian University of Science and Technology ;Ole M. Killi, Norwegian University of Science and Technology ;Henrik Schwarz, Norwegian University of Science and Technology
	Static Checking of Dynamically Generated Queries in Database Applications	Carl Gould, University of California, Davis;Zhendong Su, University of California, Davis ;Premkumar Devanbu, University of California, Davis
	A Tool for Writing and Debugging Algebraic Specifications	Johannes Henkel & Amer Diwan, University of Colorado Boulder
	Extending the REpresentational State Transfer (REST) Architectural Style for Decentralized Systems	Rohit Khare & Richard N. Taylor, University of California, Irvine
2003	Precise Dynamic Slicing Algorithms	Xiangyu Zhang, University of Arizona;Rajiv Gupta, University of Arizona ;Youtao Zhang, University of Arizona
	Modular Verification of Software Components in C	Sagar Chaki, Carnegie Mellon University;Edmund Clarke, Carnegie Mellon University ;Alex Groce, Carnegie Mellon University ;Somesh Jha, University of Wisconsin–Madison ;Helmut Veith, TU Wien
IJCAI (Artificial Intelligence)		
2021	Keep Your Distance: Land Division With Separation	Edith Elkind, University of Oxford;Erel Segal-Halevi, Ariel University ;Warut Suksompong, National University of Singapore
	On the Relation Between Approximation Fixpoint Theory and Justification Theory	Simon Marynissen, Katholieke Universiteit Leuven;Bart Bogaerts, Free University of Brussels ;Marc Denecker, Katholieke Universiteit Leuven
	Learning Generalized Unsolvability Heuristics for Classical Planning	Simon Ståhlberg, Linköping University;Guillem Francès, Pompeu Fabra University ;Jendrik Seipp, Linköping University
2020	Synthesizing Aspect-Driven Recommendation Explanations from Reviews	Trung-Hoang Le & Hady W. Lauw, Singapore Management University
	A Multi-Objective Approach to Mitigate Negative Side Effects	Sandy Saisubramanian, University of Massachusetts;Ece Kamar, Microsoft ;Shlomo Zilberstein, University of Massachusetts
2019	Boosting for Comparison-Based Learning	Michael Perrot & Ulrike von Luxburg, Max Planck Institute for Intelligent Systems
2018	SentiGAN: Generating Sentimental Texts via Mixture Adversarial Networks	Ke Wang & Xiaojun Wan, Peking University
	Reasoning about Consensus when Opinions Diffuse through Majority Dynamics	Vincenzo Auletta, University of Salerno;Diodato Ferraioli, University of Salerno ;Gianluigi Greco, University of Calabria
	R-SVM+: Robust Learning with Privileged Information	Xue Li, Wuhan University;Bo Du, Wuhan University ;Chang Xu, University of Sydney ;Yipeng Zhang, Wuhan University ;Lefei Zhang, Wuhan University ;Dacheng Tao, University of Sydney
	From Conjunctive Queries to Instance Queries in Ontology-Mediated Querying	Cristina Feier, University of Bremen;Carsten Lutz, University of Bremen ;Frank Wolte, University of Liverpool
	What game are we playing? End-to-end learning in normal and extensive form games	Chun Kai Ling, Carnegie Mellon University;Fei Fang, Carnegie Mellon University ;J. Zico Kolter, Carnegie Mellon University
	Commonsense Knowledge Aware Conversation Generation with Graph Attention	Hao Zhou, Tsinghua University;Tom Young, Beijing Institute of Technology ;Minlie Huang, Tsinghua University ;Haizhou Zhao, Sogou ;Jingfang Xu, Sogou ;Xiaoyan Zhu, Tsinghua University
	A Degeneracy Framework for Graph Similarity	Giannis Nikolentzos, École Polytechnique;Polykarpos Meladianos, Athens University of Economics and Business ;Stratis Limnios, École Polytechnique ;Michalis Vazirgiannis, École Polytechnique
2017	Foundations of Declarative Data Analysis Using Limit Datalog Programs	Mark Kaminski, University of Oxford;Bernardo Cuenca Grau, University of Oxford ;Egor V. Kostylev, University of Oxford ;Boris Motik, University of Oxford ;Ian Horrocks, University of Oxford
2016	Hierarchical Finite State Controllers for Generalized Planning	Javier Segovia, Pompeu Fabra University;Sergio Jiménez, Pompeu Fabra University ;Anders Jonsson, Pompeu Fabra University
2015	Recursive Decomposition for Nonconvex Optimization	Abram L. Friesen & Pedro Domingos, University of Washington
	Bayesian Active Learning for Posterior Estimation	Kirthevasan Kandasamy, Carnegie Mellon University;Jeff Schneider, Carnegie Mellon University ;Barnabas Poczos, Carnegie Mellon University
2013	Flexibility and Decoupling in the Simple Temporal Problem	Michel Wilson, Delft University of Technology;Tomas Klos, Delft University of Technology ;Cees Witteveen, Delft University of Technology ;Bob Huisman, Delft University of Technology
	Bayesian Optimization in High Dimensions via Random Embeddings	Ziyu Wang, University of British Columbia;Masrour Zoghi, University of Amsterdam ;Frank Hutter, Freiberg University of Mining and Technology ;David Matheson, University of British Columbia ;Nando de Freitas, University of British Columbia
2011	Nested Rollout Policy Adaptation for Monte Carlo Tree Search	Christopher D. Rosin, Parity Computing
	Unweighted Coalitional Manipulation Under the Borda Rule is NP-Hard	Nadja Betzler, Technical University of Berlin;Rolf Niedermeier, Technical University of Berlin ;Gerhard J. Woeginger, Eindhoven University of Technology
	On the Decidability of Connectedness Constraints in 2D and 3D Euclidean Spaces	Roman Kontchakov, Birkbeck College London;Yavor Nenov, University of Manchester ;Ian Pratt-Hartmann, University of Manchester ;Michael Zakharyaschev, Birkbeck College London
2009	Learning Conditional Preference Networks with Queries	Frederic Koriche, Montpellier 2 University ;Bruno Zanuttini, Université de Caen Basse-Normandie
	Consequence-Driven Reasoning for Horn SHIQ Ontologies	Yevgeny Kazakov, University of Oxford
2007	Automated Heart Wall Motion Abnormality Detection From Ultrasound Images using Bayesian Networks	Maleeha Qazi, Siemens;Glenn Fung, Siemens ;Sriram Krishnan, Siemens ;Romer Rosales, Siemens ;Harald Steck, Siemens ;R. Bharat Rao, Siemens ;Don Polderman, Erasmus MC ;Dhanalakshmi Chandrasekaran, Independent Researcher
	Performance Analysis of Online Anticipatory Algorithms for Large Multistage Stochastic Integer Programs	Luc Mercier & Pascal Van Hentenryck, Brown University
	Building Structure into Local Search for SAT	Duc Nghia Pham, Griffith University;John Thornton, Griffith University ;Abdul Sattar, Griffith University
2005	Learning Coordination Classifiers	Yuhong Guo, University of Alberta;Russell Greiner, University of Alberta ;Dale Schuurmans, University of Alberta
	Solving Checkers	Jonathan Schaeffer, University of Alberta;Yngvi Bjornsson, University of Alberta ;Neil Burch, University of Alberta ;Akihiro Kishimoto, University of Alberta ;Martin Muller, University of Alberta ;Robert Lake, University of Alberta ;Paul Lu, University of Alberta ;Steve Sutphen, University of Alberta
	A Probabilistic Model of Redundancy in Information Extraction	Doug Downey, University of Washington;Oren Etzioni, University of Washington ;Stephen Soderland, University of Washington
2003	Thin Junction Tree Filters for Simultaneous Localization and Mapping	Mark A. Paskin, University of California, Berkeley
	Approximating Game-Theoretic Optimal Strategies for Full-scale Poker	Darse Billings, University of Alberta;Neil Burch, University of Alberta ;Aaron Davidson, University of Alberta ;Robert Holte, University of Alberta ;Jonathan Schaeffer, University of Alberta ;Terence Schauenberg, University of Alberta ;Duane Szafron, University of Alberta
2001	Complexity Results for Structure-Based Causality	Thomas Eiter & Thomas Lukasiewicz, TU Wien
1999	A Distributed Case-Based Reasoning Application for Engineering Sales Support	Ian Watson, University of Salford ;Dan Gardingen, Western Air
	Learning in Natural Language	Dan Roth, University of Illinois at Urbana–Champaign
1997	Translingual Information Retrieval: A Comparative Evaluation	Jaime G. Carbonell, Carnegie Mellon University;Yiming Yang, Carnegie Mellon University ;Robert E. Frederking, Carnegie Mellon University ;Ralf D. Brown, Carnegie Mellon University ;Yibing Geng, Carnegie Mellon University ;Danny Lee, Carnegie Mellon University
	Object Identification in a Bayesian Context	Timothy Huang & Stuart Russell, University of California, Berkeley
	Applications of the Situation Calculus to Formalizing Control and Strategic Information: The Prolog Cut Operator	Fangzhen Lin, Hong Kong University of Science and Technology
INFOCOM (Networking)		
2021	Uplink Multi-User Beamforming on Single RF Chain mmWave WLANs	Keerthi Priya Dasala, Rice University;Josep M Jornet, Northeastern University ;Edward W. Knightly, Rice University
	mCore: Achieving Sub-millisecond Scheduling for 5G MU-MIMO Systems	Yongce Chen, Virginia Tech;Yubo Wu, Virginia Tech ;Thomas Hou, Virginia Tech ;Wenjing Lou, Virginia Tech
	Exploiting Simultaneous Communications to Accelerate Data Parallel Distributed Deep Learning	Shaohuai Shi, Hong Kong University of Science and Technology;Xiaowen Chu, Hong Kong Baptist University ;Bo Li, Hong Kong University of Science and Technology
2020	Push the Limit of Acoustic Gesture Recognition	Yanwen Wang, Hong Kong Polytechnic University;Jiaxing Shen, Hong Kong Polytechnic University ;Yuanqing Zheng, Hong Kong Polytechnic University
	On the Power of Randomization for Scheduling Real-Time Traffic in Wireless Networks	Christos Tsanikidis & Javad Ghaderi, Columbia University
	Reducing the Service Function Chain Backup Cost over the Edge and Cloud by a Self-Adapting Scheme	Xiaojun Shang, Stony Brook University;Yaodong Huang, Stony Brook University ;Zhenhua Liu, Stony Brook University ;Yuanyuan Yang, Stony Brook University
2019	Combinatorial Sleeping Bandits with Fairness Constraints	Fengjiao Li, Iowa State University;Jia Liu, Iowa State University ;Bo Ji, Iowa State University
	RF-Mehndi: A Fingertip Profiled RF Identifier	Cui Zhao, Xi'an Jiaotong University;Zhenjiang Li, City University of Hong Kong ;Han Ding, Xi'an Jiaotong University ;Jinsong Han, Zhejiang University ;Wei Xi, Xi'an Jiaotong University ;Ting Liu, Xi'an Jiaotong University ;Ruowei Gui, Xi'an Jiaotong University
	Counterintuitive Characteristics of Optimal Distributed LRU Caching Over Unreliable Channels	Guocong Quan, Ohio State University;Jian Tan, Ohio State University ;Atilla Eryilmaz, Ohio State University
2018	Understanding Ethereum via Graph Analysis	Ting Chen, University of Electronic Science and Technology of China;Yuxiao Zhu, Guangdong University of Technology ;Zihao Li, University of Electronic Science and Technology of China ;Jiachi Chen, Hong Kong Polytechnic University ;Xiaoqi Li, Hong Kong Polytechnic University ;Xiapu Luo, Hong Kong Polytechnic University ;Xiaodong Lin, Wilfrid Laurier University ;Xiaosong Zhang, University of Electronic Science and Technology of China
	WiFED: WiFi Friendly Energy Delivery with Distributed Beamforming	Subhramoy Mohanti, Northeastern University;Elif Bozkaya, Istanbul Technical University ;M. Yousof Naderi, Northeastern University ;Berk Canberk, Istanbul Technical University ;Kaushik Chowdhury, Northeastern University
	Optimizing Age of Information in Wireless Networks with Throughput Constraints	Igor Kadota, Massachusetts Institute of Technology;Abhishek Sinha, Massachusetts Institute of Technology ;Eytan Modiano, Massachusetts Institute of Technology
2017	One Step at a Time: Optimizing SDN Upgrades in ISP Networks	Konstantinos Poularakis, Yale University;George Iosifidis, Yale University ;Georgios Smaragdakis, Massachusetts Institute of Technology ;Leandros Tassiulas, Yale University
2016	Heavy-Ball: A New Approach to Tame Delay and Convergence in Wireless Network Optimization	Jia Liu, Ohio State University;Atilla Eryilmaz, Ohio State University ;Ness B. Shroff, Ohio State University ;Elizabeth Serena Bentley, Air Force Research Laboratory
2015	The Power of Slightly More than One Sample in Randomized Load Balancing	Lei Ying, Arizona State University;R. Srikant, University of Illinois at Urbana–Champaign ;Xiaohan Kang, Arizona State University
2014	Joint Static and Dynamic Traffic Scheduling in Data Center Networks	Zizhong Cao, New York University Tandon School of Engineering;M. Kodialam, Bell Labs ;T. V. Lakshman, Bell Labs
	Performance Evaluation and Asymptotics for Content Delivery Networks	Virag Shah & Gustavo de Veciana, University of Texas at Austin
2013	On the Steady-State of Cache Networks	Elisha J. Rosensweig, University of Massachusetts Amherst;Daniel S. Menasche, University of Massachusetts Amherst ;Jim Kurose, University of Massachusetts Amherst
2012	Multi-resource allocation: Fairness-efficiency tradeoffs in a unifying framework	Carlee Joe-Wong, Princeton University;Soumya Sen, Princeton University ;Tian Lan, George Washington University ;Mung Chiang, Princeton University
2011	Dynamic right-sizing for power-proportional data centers	Minghong Lin, California Institute of Technology;Adam Wierman, California Institute of Technology ;Lachlan Andrew, Swinburne University of Technology ;Eno Thereska, Microsoft
2010	On the Feasibility and Efficacy of Protection Routing in IP Networks	Kin-Wah Kwong, University of Pennsylvania;Lixin Gao, University of Massachusetts Amherst ;Roch Guérin, University of Pennsylvania ;Zhi-Li Zhang, University of Minnesota
2009	Queuing Network Models for Multi-Channel P2P Live Streaming Systems	Di Wu, New York University Tandon School of Engineering;Yong Liu, New York University Tandon School of Engineering ;Keith W. Ross, New York University Tandon School of Engineering
2008	Theoretical Results on Base Station Movement Problem for Sensor Networks	Yi Shi & Y. Thomas Hou, Virginia Tech
	On the Feasibility of the Link Abstraction in (Rural) Mesh Networks	Dattatraya Gokhal, Indian Navy;Sayandeep Sen, University of Wisconsin–Madison ;Kameswari Chebrolu, Indian Institute of Technology Kanpur ;Bhaskaran Rama, Indian Institute of Technology Kanpur
	Understanding the Capacity Region of the Greedy Maximal Scheduling Algorithm in Multi-hop Wireless Networks	Changhee Joo, Ohio State University;Xiaojun Lin, Purdue University ;Ness B. Shroff, Ohio State University
2007	Disruption free topology reconfiguration in OSPF networks	Pierre Francois, Université catholique de Louvain;Mike Shand, Cisco Systems ;Olicier Bonaventure, Université catholique de Louvain
2006	Delay and Capacity Trade-offs in Mobile Ad Hoc Networks: A Global Perspective	Gaurav Sharma, Purdue University;Ravi Mazumdar, University of Waterloo ;Ness Shroff, Purdue University
2005	Perfect Simulation and Stationarity of a Class of Mobility Models	Jean-Yves Le Boude, École Polytechnique Fédérale de Lausanne ;Milan Vojnović, Microsoft
2004	Throughput-Delay Trade-Off in Wireless Networks	Abbas El Gamal, Stanford University;James Mammen, Stanford University ;Balaji Prabhakar, Stanford University ;Devavrat Shah, Stanford University
